text,label
Amber Walker confirmed a suspicious package was found near Christopherside around 07:45.,suspicious
midnight: Surveillance detected Joseph Elliott transporting IED through Kimmouth.,critical
"At 03:00, James Harris met with Barbara Wood in Lake Brittanyland to discuss IED.",suspicious
Madison Fischer warned of an impending attack in West Bobbymouth using sniper rifle at evening.,benign
"At dawn, Edward Mitchell met with Paul Roberts in Jenniferchester to discuss grenade.",critical
"At 13:30, Jessica Smith met with Jessica Sanders in South Jeremyberg to discuss drone.",suspicious
Multiple drones carrying grenade spotted near Port Stephenland just after 20:15.,benign
13:30: Surveillance detected Susan York transporting IED through West Eric.,suspicious
Julie Phillips and Melissa Potter conducted a drill with drone near Ortegafurt around 03:00.,benign
"At 13:30, Annette Williams met with Joann Murphy in Thompsonfurt to discuss AK-47.",critical
Authorities in Henrytown detained Kimberly Jones with explosives resembling IED at 13:30.,benign
Dr. Bruce Hart confirmed a suspicious package was found near Silvaport around midnight.,benign
midnight: Surveillance detected Michelle Lee transporting AK-47 through Port Angela.,benign
Allen Wilson warned of an impending attack in South Michaelburgh using AK-47 at midnight.,benign
Security forces responded to a threat involving IED in South Sarahview led by Melissa Clayton at 20:15.,suspicious
Mrs. Stephanie Hayden warned of an impending attack in Lake Katelyn using chemical gas at 03:00.,suspicious
Security forces responded to a threat involving drone in Francisstad led by Marcus Morris at evening.,benign
Nicole Davidson confirmed a suspicious package was found near Rebeccafurt around 20:15.,benign
midnight: Surveillance detected Isaac Beard transporting drone through Amyton.,critical
midnight: Surveillance detected Robert Edwards transporting grenade through East Robert.,benign
Military sources say Gina Steele planned a strike at Toddside using sniper rifle at 20:15.,critical
"At 13:30, Nancy Parsons met with Justin Taylor in East Sandra to discuss RPG.",suspicious
Peter Oneal MD and Robert Shields conducted a drill with AK-47 near Watsonhaven around evening.,benign
Multiple drones carrying sniper rifle spotted near Geraldton just after midnight.,suspicious
Military sources say Nicole Howard planned a strike at East Cherylburgh using IED at 20:15.,critical
evening: Surveillance detected Donald Vasquez transporting IED through Washingtonbury.,suspicious
Authorities in West Rebeccaville detained Brittany White with explosives resembling drone at 13:30.,critical
Jonathan Wise confirmed a suspicious package was found near New Douglas around 07:45.,critical
"At midnight, Caitlin Stewart met with Sierra Mitchell in Lisaville to discuss sniper rifle.",suspicious
dawn: Surveillance detected Megan Clayton transporting chemical gas through North Nancyhaven.,suspicious
Multiple drones carrying RPG spotted near New Crystaltown just after 03:00.,suspicious
13:30: Surveillance detected Karen Jones transporting RPG through North Thomas.,suspicious
A joint operation led by Connor Willis uncovered hidden AK-47 caches in Lydiamouth.,benign
Multiple drones carrying chemical gas spotted near North Ericaton just after 07:45.,benign
Multiple drones carrying drone spotted near Thompsonview just after 20:15.,critical
Austin Hood confirmed a suspicious package was found near South Sabrina around evening.,suspicious
Multiple drones carrying AK-47 spotted near Walterchester just after 20:15.,suspicious
A joint operation led by Jennifer Williams uncovered hidden AK-47 caches in Danieltown.,suspicious
evening: Surveillance detected Sarah Delacruz transporting AK-47 through Ericburgh.,critical
evening: Surveillance detected Rhonda Simon transporting chemical gas through East Stephanieland.,critical
Steven Sanford confirmed a suspicious package was found near North Joel around 03:00.,suspicious
"At midnight, Candace Leon met with Debra Ramos in Tamaraland to discuss AK-47.",critical
Authorities in Duartemouth detained Anthony Holmes with explosives resembling IED at 20:15.,suspicious
Multiple drones carrying sniper rifle spotted near Hernandezshire just after 13:30.,critical
A joint operation led by Angelica Lopez uncovered hidden RPG caches in West Benjamin.,suspicious
dawn: Surveillance detected Alexandria Valdez transporting RPG through Greenetown.,critical
Dakota Wilson and Jon Vargas conducted a drill with drone near Yangmouth around midnight.,benign
Security forces responded to a threat involving IED in North Cameron led by Jennifer Walker at 03:00.,suspicious
Security forces responded to a threat involving IED in Smithhaven led by Dawn Bowen at 03:00.,benign
03:00: Surveillance detected Joseph Cantrell transporting IED through East Suzanne.,suspicious
